area_args,rot_o_alt_mean
"(3.4641016151377544, 3.4641016151377544)",0.0012352556686709441
"(3.4641016151377544, 173.20508075688772)",0.2398881191698215
"(173.20508075688772, 173.20508075688772)",0.001155281650643771
"(3.4641016151377544, 346.41016151377545)",0.3060735077052915
"(173.20508075688772, 346.41016151377545)",0.040876352264527974
"(346.41016151377545, 346.41016151377545)",0.0008530255108472386
"(3.4641016151377544, 692.8203230275509)",0.43790262932060414
"(173.20508075688772, 692.8203230275509)",0.2503877217719417
"(346.41016151377545, 692.8203230275509)",0.16678678522178036
"(692.8203230275509, 692.8203230275509)",0.0012233582240219708
"(3.4641016151377544, 3464.1016151377544)",0.9238582222524538
"(173.20508075688772, 3464.1016151377544)",0.7501469424430198
"(346.41016151377545, 3464.1016151377544)",0.7357125378627732
"(692.8203230275509, 3464.1016151377544)",0.7070431112279316
"(3464.1016151377544, 3464.1016151377544)",0.00147918040779911
"(3.4641016151377544, 6928.203230275509)",0.6522041697952018
"(173.20508075688772, 6928.203230275509)",0.6488116213485795
"(346.41016151377545, 6928.203230275509)",0.6329742342964887
"(692.8203230275509, 6928.203230275509)",0.6317329649529919
"(3464.1016151377544, 6928.203230275509)",0.6172343343843051
"(6928.203230275509, 6928.203230275509)",0.0006286014812603741
"(3.4641016151377544, 18000.0)",0.6411610773293048
"(173.20508075688772, 18000.0)",0.641109501736002
"(346.41016151377545, 18000.0)",0.6390908087741497
"(692.8203230275509, 18000.0)",0.6376446960764354
"(3464.1016151377544, 18000.0)",0.6335185631245195
"(6928.203230275509, 18000.0)",0.6177369214107936
"(18000.0, 18000.0)",0.0011653554359943087
"(3.4641016151377544, 23000.0)",0.634605285230449
"(173.20508075688772, 23000.0)",0.6347570525670413
"(346.41016151377545, 23000.0)",0.6406744977041448
"(692.8203230275509, 23000.0)",0.6367193205504638
"(3464.1016151377544, 23000.0)",0.63278592393202
"(6928.203230275509, 23000.0)",0.6200635497398932
"(18000.0, 23000.0)",0.4965291084144063
"(23000.0, 23000.0)",0.001097886104617273
"(3.4641016151377544, 3.1415926535897934e8)",0.6355776701139334
"(173.20508075688772, 3.1415926535897934e8)",0.6434625730631515
"(346.41016151377545, 3.1415926535897934e8)",0.6394854234169601
"(692.8203230275509, 3.1415926535897934e8)",0.6393158575302326
"(3464.1016151377544, 3.1415926535897934e8)",0.630693169852306
"(6928.203230275509, 3.1415926535897934e8)",0.6187137044665262
"(18000.0, 3.1415926535897934e8)",0.5002577301093133
"(23000.0, 3.1415926535897934e8)",0.28152587396224016
"(3.1415926535897934e8, 3.1415926535897934e8)",0.0010554670054945957
